Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,value11_12,value12_13,description,source_name,source_url,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Higher Education Support,Disability Support Program,"6,008",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Higher Education Support,Indigenous Support Program,"18,321",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Higher Education Support,Diversity and Structural Adjustment,"23,602",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Higher Education Support,Quality Initiatives,"13,078",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Higher Education Support,Open Learning Initiatives,245,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Higher Education Support,National Institutes,"91,404",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Higher Education Support,Commonw ealth Scholarships,"7,017",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Higher Education Support,Higher Education Special Projects (Capital Development Pool),"24,947",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Higher Education Support,Education Investment Fund,"91,141",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Higher Education Loan Program,Higher Education Loan Program,"756,831",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Tertiary Student Assistance,YouthAllowanceCommunication,700,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Tertiary Student Assistance,Austudy,"248,936",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Tertiary Student Assistance,Youth Allowance,"1,338,524",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,Tertiary Student Assistance,Fares Allowance,379,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,National Centre for Vocational Education Research,513,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,Australian Apprenticeship Centres,"116,633",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,Support for Australian Apprenticeships,"602,910",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,Australian Apprenticeship Workforce Skills Development,"117,497",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,Australian Apprenticeship Access Program,"38,009",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,Workplace English Language and Literacy,"9,319",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,"Language, Literacy and Numeracy","47,115",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,Critical Skills Investment Fund,"10,973",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,National Foundation Skills Strategy,836,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,Trade Apprentice Mentoring Initiative,"4,708",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,Support for Competency Based Progression,"2,920",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,The Right Trade for You,"1,152",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,More Help for Mature Age Workers,"10,000",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,National Workforce Development Fund,"7,296",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,VET National Support,Education Investment Fund,"16,190",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,International Education Support,International Education and Training,"23,383",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,International Education Support,Assessment Subsidy for Overseas Trained Professionals,419,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Department of Education, Employment and Workplace Relations",Tertiary education,International Education Support,Education Services for Overseas Student Assurance Fund,"2,325",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Australian Curriculum, Assessment and Reporting Authority",National Curriculum,,,"12,203","12,503",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Australian Curriculum, Assessment and Reporting Authority",National Data Collection and Reporting,,,"5,004","6,660",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Australian Curriculum, Assessment and Reporting Authority",National Assessment,,,"12,044","11,987",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Australian Institute for Teaching and School Leadership,,,,"18,896","14,900",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Comcare,"Promoting worker health, wellbeing and resilience in federal workplaces",,,"32,406","23,914",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Comcare,Supporting injured federal workers,SRC Act Regulation,,"11,677","10,383",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Comcare,Supporting injured federal workers,Management of Premium Claims,,"723,908","353,820",Payment of claims is funded from premium revenue paid to Comcare,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Comcare,Supporting injured federal workers,Management of Pre Premium Grants from Portfolio Agencies,,"53,361","18,594",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Comcare,Supporting injured federal workers,Provide support to the Seafarers Safety Rehabilitation and Compensation Authority,,"1,039","1,036",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Comcare,Access to compensation for people with asbestos-related diseases where the Commonwealth has a liability through management of claims.,,,"45,272","39,600",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Fair Work Australia,,,,"79,172","76,545",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Fair Work Ombudsman,,,,"143,475","136,648",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Office of the Australian Building and Construction Commissioner,,,,"32,088",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Office of the Fair Work Building Industry Inspectorate,,,,"2,917","31,737","Enforce workplace relations laws in the building and construction industry and ensure compliance with those laws by all participants in the building and construction industry through the provision of education, assistance and advice.",DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Safe Work Australia,,,,"21,080","19,402",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
Parliament,,,,,4261074,2128332,,,,,,,,,,,,,,
Agriculture fisheries & forrestry,,,,,8386119,7600888,,,,,,,,,,,,,,
Attorney General,,,,,8607559,6146031,,,,,,,,,,,,,,
Broadband,,,,,7279591,3595884,,,,,,,,,,,,,,
Climate change,,,,,441516,5468239,,,,,,,,,,,,,,
Defence portfolio,,,,,994394,7183523,,,,,,,,,,,,,,
"Education, Employment, workplace relations",,,,,6163,104312,,,,,,,,,,,,,,
"Families, Housing, Community Services and indigenous affairs",,,,,9810566,8295804,,,,,,,,,,,,,,
Finance & Deregulation,,,,,1672136,875924,,,,,,,,,,,,,,
Foreign Affairs and trade,,,,,7509092,7785533,,,,,,,,,,,,,,
Health and Ageing,,,,,4013573,4481874,,,,,,,,,,,,,,
Human Services,,,,,4038043,4400705,,,,,,,,,,,,,,
Immigration & citizenship,,,,,8147377,2258993,,,,,,,,,,,,,,
"Industry Innovation, Science, Research & Tertiary Education",,,,,7283110,2918327,,,,,,,,,,,,,,
Infrastructure & Transport,,,,,6595294,5963848,,,,,,,,,,,,,,
Prime minister & Cabinet,,,,,9606323,96198,,,,,,,,,,,,,,
"Regional Australia, Local Government, Arts & Sport",,,,,6090985,5830594,,,,,,,,,,,,,,
"Resources, Energy & Tourism",,,,,418336,9542569,,,,,,,,,,,,,,
"Sustainability, Environment, Water, Population & Communities",,,,,3081263,6089775,,,,,,,,,,,,,,
Treasury,,,,,4575821,2890593,,,,,,,,,,,,,,
